Day,Age,Gender,A,B,C,D,E,F
4/10/2022,15-25,Male,242,497,106,102,796,545
4/10/2022,>25,Male,31,603,592,907,776,207
4/10/2022,15-25,Female,379,5,260,844,860,745
4/10/2022,>25,Female,375,644,723,130,226,71
5/10/2022,15-25,Male,248,267,876,33,609,158
5/10/2022,>25,Male,56,867,652,921,699,442
5/10/2022,15-25,Female,807,252,722,91,47,479
5/10/2022,>25,Female,85,478,418,831,942,877
6/10/2022,15-25,Male,269,290,132,831,637,914
6/10/2022,>25,Male,545,693,696,82,573,541
6/10/2022,15-25,Female,457,733,738,971,460,248
6/10/2022,>25,Female,167,206,777,212,405,378
7/10/2022,15-25,Male,58,293,948,431,57,451
7/10/2022,>25,Male,538,662,900,697,192,836
7/10/2022,15-25,Female,386,687,324,134,888,277
7/10/2022,>25,Female,462,632,543,469,356,632
8/10/2022,15-25,Male,530,304,48,143,603,665
8/10/2022,>25,Male,615,837,384,450,649,951
8/10/2022,15-25,Female,28,249,924,210,871,937
8/10/2022,>25,Female,23,318,616,628,105,175
9/10/2022,15-25,Male,516,331,154,651,995,603
9/10/2022,>25,Male,206,628,417,779,296,854
9/10/2022,15-25,Female,547,879,760,313,456,237
9/10/2022,>25,Female,213,531,831,378,311,819
10/10/2022,15-25,Male,296,988,555,878,440,445
10/10/2022,>25,Male,715,354,792,784,716,722
10/10/2022,15-25,Female,21,981,126,843,522,308
10/10/2022,>25,Female,855,474,719,219,324,475
11/10/2022,15-25,Male,540,58,811,125,769,946
11/10/2022,>25,Male,668,74,972,883,145,982
11/10/2022,15-25,Female,186,991,57,898,437,701
11/10/2022,>25,Female,428,732,662,505,503,796
12/10/2022,15-25,Male,317,961,556,95,49,49
12/10/2022,>25,Male,638,392,263,654,632,218
12/10/2022,15-25,Female,818,662,426,203,486,108
12/10/2022,>25,Female,444,496,137,814,239,349
13/10/2022,15-25,Male,924,325,653,700,906,807
13/10/2022,>25,Male,655,437,349,975,377,425
13/10/2022,15-25,Female,993,508,728,780,854,483
13/10/2022,>25,Female,131,778,907,747,739,916
14/10/2022,15-25,Male,619,240,356,64,287,350
14/10/2022,>25,Male,195,187,25,580,369,246
14/10/2022,15-25,Female,179,97,634,465,938,590
14/10/2022,>25,Female,559,297,49,958,784,216
15/10/2022,15-25,Male,756,218,729,770,164,423
15/10/2022,>25,Male,578,578,861,677,402,452
15/10/2022,15-25,Female,515,403,8,35,432,788
15/10/2022,>25,Female,131,154,752,664,822,82
16/10/2022,15-25,Male,459,627,277,146,448,910
16/10/2022,>25,Male,810,641,816,50,11,856
16/10/2022,15-25,Female,703,530,179,901,916,132
16/10/2022,>25,Female,158,712,605,424,700,603
17/10/2022,15-25,Male,716,137,671,427,493,865
17/10/2022,>25,Male,479,14,550,424,705,300
17/10/2022,15-25,Female,652,901,159,229,658,0
17/10/2022,>25,Female,875,335,972,241,313,300
18/10/2022,15-25,Male,690,744,436,617,658,765
18/10/2022,>25,Male,298,742,278,478,83,138
18/10/2022,15-25,Female,390,432,990,973,972,63
18/10/2022,>25,Female,825,764,680,348,205,729
19/10/2022,15-25,Male,142,9,743,265,761,132
19/10/2022,>25,Male,289,239,537,29,100,819
19/10/2022,15-25,Female,765,323,510,417,720,805
19/10/2022,>25,Female,36,930,880,182,938,201
20/10/2022,15-25,Male,60,535,724,678,735,172
20/10/2022,>25,Male,402,643,172,364,775,831
20/10/2022,15-25,Female,172,817,708,805,526,763
20/10/2022,>25,Female,761,986,411,113,626,532
21/10/2022,15-25,Male,7,54,313,737,423,807
21/10/2022,>25,Male,580,571,169,597,108,277
21/10/2022,15-25,Female,876,703,233,61,805,349
21/10/2022,>25,Female,841,137,465,476,602,783
22/10/2022,15-25,Male,220,202,241,191,260,327
22/10/2022,>25,Male,868,449,700,253,838,745
22/10/2022,15-25,Female,459,396,812,895,23,375
22/10/2022,>25,Female,991,650,603,341,610,1
23/10/2022,15-25,Male,208,731,640,197,513,899
23/10/2022,>25,Male,228,198,910,960,902,15
23/10/2022,15-25,Female,656,126,35,305,443,410
23/10/2022,>25,Female,339,36,432,215,265,861
24/10/2022,15-25,Male,453,891,725,895,896,326
24/10/2022,>25,Male,109,6,497,255,230,364
24/10/2022,15-25,Female,49,163,490,132,214,714
24/10/2022,>25,Female,601,31,398,607,787,920
25/10/2022,15-25,Male,808,772,118,51,596,808
25/10/2022,>25,Male,668,354,132,53,465,859
25/10/2022,15-25,Female,156,16,224,317,870,746
25/10/2022,>25,Female,160,405,135,922,163,951
26/10/2022,15-25,Male,400,603,713,124,206,896
26/10/2022,>25,Male,785,246,88,199,796,122
26/10/2022,15-25,Female,991,240,339,464,147,202
26/10/2022,>25,Female,162,52,803,739,982,397
27/10/2022,15-25,Male,119,437,384,623,594,509
27/10/2022,>25,Male,659,787,256,923,925,468
27/10/2022,15-25,Female,499,815,873,670,609,131
27/10/2022,>25,Female,434,99,666,849,112,595
28/10/2022,15-25,Male,297,146,498,316,512,646
28/10/2022,>25,Male,805,897,873,711,523,191
28/10/2022,15-25,Female,209,67,216,780,701,906
28/10/2022,>25,Female,673,936,937,816,354,789
29/10/2022,15-25,Male,791,398,916,660,609,385
29/10/2022,>25,Male,753,958,892,264,205,70
29/10/2022,15-25,Female,974,758,11,947,729,744
29/10/2022,>25,Female,908,197,552,13,881,351
